"LEAID","NCESSCH","TR10","AM10","AS10","BL10","HI10","HP10","WH10","TR11","AM11","AS11","BL11","HI11","HP11","WH11","TR12","AM12","AS12","BL12","HI12","HP12","WH12","TR09","AM09","AS09","BL09","HI09","HP09","WH09","total_g10","total_g11","total_g12","total_g9","total_enroll","FRELCH","REDLCH","TOTFRL","rate_frelch","rate_redlch","rate_totfrl","lunch_total"
"0100390","010039000073",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0100390","010039000141",3,1,0,368,16,0,4,1,3,1,318,14,0,1,1,2,0,275,6,0,3,3,0,1,380,27,0,5,392,338,287,416,1433,775,0,775,0.540823447313329,0,0.540823447313329,775
"0100390","010039000164",0,1,0,266,1,0,2,1,0,0,212,6,0,0,0,1,0,207,2,0,0,1,0,0,245,0,0,2,270,219,210,248,947,593,0,593,0.626187961985216,0,0.626187961985216,593
"0100390","010039000165",2,3,0,220,3,0,0,0,0,0,175,2,0,0,2,3,0,163,3,0,1,0,0,0,239,3,0,1,228,177,172,243,820,511,0,511,0.623170731707317,0,0.623170731707317,511
"0100390","010039000176",2,0,0,198,0,0,1,2,1,0,229,2,0,1,1,0,1,192,2,0,1,6,0,0,168,1,0,4,201,235,197,179,812,197,0,197,0.242610837438424,0,0.242610837438424,197
"0100390","010039000192",1,0,0,213,4,0,1,3,2,0,192,1,0,1,0,0,0,170,0,0,2,1,0,0,195,4,0,1,219,199,172,201,791,482,0,482,0.609355246523388,0,0.609355246523388,482
"0100390","010039000198",0,5,0,211,5,0,4,3,3,0,183,9,0,1,0,1,1,161,3,0,7,3,0,0,216,5,0,3,225,199,173,227,824,591,0,591,0.717233009708738,0,0.717233009708738,591
"0100390","010039001288",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0100390","010039001296",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,-1,-1,-2,-0.5,-0.5,-1,-2
"0100390","010039001468",3,0,0,191,30,1,5,1,0,0,182,24,1,1,3,0,0,147,9,0,1,3,0,0,221,34,4,1,230,209,160,263,862,530,0,530,0.614849187935035,0,0.614849187935035,530
"0100390","010039001629",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0100390","010039001761",0,0,0,11,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,6,0,6,24,18,0,18,0.75,0,0.75,18
"0100390","010039001765",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0102370","010237000898",0,0,0,223,5,0,10,1,0,0,181,8,0,4,0,0,1,160,2,0,7,1,0,0,249,9,0,8,238,194,170,267,869,616,0,616,0.708860759493671,0,0.708860759493671,616
"0102370","010237000899",6,3,19,223,24,0,439,7,5,15,217,32,1,387,15,6,14,204,25,0,345,16,5,21,260,33,0,481,714,664,609,816,2803,622,0,622,0.221905101676775,0,0.221905101676775,622
"0102370","010237000900",1,2,0,251,2,0,2,1,1,0,223,1,0,4,0,0,0,206,0,0,3,1,0,0,269,3,0,5,258,230,209,278,975,629,0,629,0.645128205128205,0,0.645128205128205,629
"0102370","010237000906",3,33,1,50,1,1,101,5,36,2,32,2,0,99,7,38,0,34,2,0,91,10,47,2,69,4,0,131,190,176,172,263,801,333,0,333,0.415730337078652,0,0.415730337078652,333
"0102370","010237000912",5,3,29,203,20,0,123,1,1,10,204,21,2,99,8,2,21,161,10,1,87,9,4,17,310,31,0,130,383,338,290,501,1512,538,0,538,0.355820105820106,0,0.355820105820106,538
"0102370","010237000934",9,3,2,89,23,0,445,10,2,2,87,12,0,356,2,4,7,67,16,0,372,9,4,1,111,22,1,440,571,469,468,588,2096,604,0,604,0.288167938931298,0,0.288167938931298,604
"0102370","010237000942",7,1,14,407,22,0,110,3,1,13,363,12,0,88,9,0,6,388,11,1,113,5,1,9,407,17,1,91,561,480,528,531,2100,905,0,905,0.430952380952381,0,0.430952380952381,905
"0102370","010237000962",3,0,0,222,1,0,0,1,0,0,229,2,0,0,1,1,0,187,1,0,1,1,1,0,225,2,0,0,226,232,191,229,878,561,0,561,0.638952164009112,0,0.638952164009112,561
"0102370","010237000964",0,1,0,165,0,0,5,0,0,0,162,0,0,4,0,0,0,169,1,0,2,1,0,0,197,1,0,2,171,166,172,201,710,511,0,511,0.719718309859155,0,0.719718309859155,511
"0102370","010237000969",1,1,0,142,0,0,2,2,0,0,123,1,0,1,0,0,0,116,2,0,0,1,0,0,179,0,0,2,146,127,118,182,573,441,0,441,0.769633507853403,0,0.769633507853403,441
"0102370","010237000989",5,8,29,43,18,1,340,6,2,26,52,6,0,296,16,2,30,49,13,0,262,10,0,33,71,30,0,381,444,388,372,525,1729,584,0,584,0.337767495662233,0,0.337767495662233,584
"0102370","010237001083",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0102370","010237001086",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0102370","010237001597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"0102370","010237001605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,NA,NA,NA,30
"0102370","010237001618",1,0,1,19,0,0,11,2,0,0,14,0,0,5,1,0,1,58,0,0,20,1,0,1,13,0,0,6,32,21,80,21,154,115,0,115,0.746753246753247,0,0.746753246753247,115
"0102370","010237001624",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-14,-14,-14,-14,-56,-1,-1,-2,NA,NA,NA,-2
"0102370","010237001686",0,0,0,2,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,10,0,0,0,4,2,2,10,18,21,0,21,1.16666666666667,0,1.16666666666667,21
"0102370","010237001688",6,2,15,111,23,5,289,4,1,7,79,11,2,213,6,3,8,85,16,0,236,8,2,13,122,20,3,323,451,317,354,491,1613,615,0,615,0.381277123372598,0,0.381277123372598,615
"0102370","010237001799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"0102370","010237002177",0,0,0,0,0,0,0,0,0,0,21,2,0,8,0,0,0,13,1,0,9,0,0,0,0,0,0,0,0,31,23,0,54,34,0,34,0.62962962962963,0,0.62962962962963,34
"0614550","061455001711",8,4,40,97,346,5,188,10,5,36,78,287,5,196,10,5,37,63,272,2,223,13,3,49,83,405,6,163,688,617,612,722,2639,997,500,1497,0.37779461917393,0.189465706707086,0.567260325881015,1497
"0614550","061455001720",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,14,77,0,8,0,0,0,0,0,0,0,0,1,105,0,106,76,15,91,0.716981132075472,0.141509433962264,0.858490566037736,91
"0614550","061455001723",7,4,68,124,409,3,55,5,2,78,98,351,1,68,8,2,71,94,323,0,45,11,5,68,119,448,3,83,670,603,543,737,2553,1380,560,1940,0.540540540540541,0.219349784567176,0.759890325107716,1940
"0614550","061455001730",5,7,39,54,468,1,63,6,1,35,51,412,1,59,11,3,27,53,368,1,46,11,3,36,77,501,6,65,637,565,509,699,2410,1508,601,2109,0.625726141078838,0.249377593360996,0.875103734439834,2109
"0614550","061455001737",6,2,65,58,308,2,71,3,6,66,55,270,5,78,7,1,48,33,208,1,63,9,7,54,43,347,2,78,512,483,361,540,1896,1062,466,1528,0.560126582278481,0.2457805907173,0.805907172995781,1528
"0614550","061455001754",5,0,66,35,301,2,20,3,2,80,29,287,1,12,3,3,94,25,267,1,14,2,2,93,48,357,1,21,429,414,407,524,1774,1293,374,1667,0.728861330326945,0.210822998872604,0.939684329199549,1667
"0614550","061455001762",4,3,64,34,480,0,23,2,3,46,30,412,3,23,2,5,48,18,349,1,19,4,4,47,36,520,0,23,608,519,442,634,2203,1535,427,1962,0.696777122106219,0.193826600090785,0.890603722197004,1962
"0614550","061455001986",0,1,0,1,3,0,0,2,3,10,19,174,0,7,1,1,29,41,227,1,13,0,0,0,0,0,0,0,5,215,313,0,533,382,103,485,0.716697936210131,0.193245778611632,0.909943714821764,485
"0614550","061455003024",0,0,0,1,2,0,1,0,0,0,0,8,0,1,0,0,0,0,3,0,5,0,0,0,0,2,0,1,4,9,8,3,24,12,3,15,0.5,0.125,0.625,15
"0614550","061455005749",0,0,2,4,37,0,5,1,2,11,18,185,0,22,4,0,15,20,127,0,15,0,2,1,0,3,0,0,48,239,181,6,474,347,55,402,0.732067510548523,0.116033755274262,0.848101265822785,402
"0614550","061455007497",0,0,1,4,22,0,3,1,1,3,7,46,0,5,0,1,4,14,77,0,11,0,0,0,0,11,0,2,30,63,107,13,213,187,10,197,0.877934272300469,0.0469483568075117,0.924882629107981,197
"0614550","061455007963",2,1,175,50,486,2,22,3,1,148,44,427,1,19,6,2,173,61,418,0,16,6,5,168,58,529,1,22,738,643,676,789,2846,1728,798,2526,0.607167955024596,0.280393534785664,0.88756148981026,2526
"0614550","061455007964",0,0,2,0,7,0,0,0,0,1,1,7,0,0,1,0,0,0,8,0,2,0,0,0,0,6,0,3,9,9,11,9,38,12,24,36,0.315789473684211,0.631578947368421,0.947368421052632,36
"0614550","061455008697",0,0,1,4,33,0,4,0,2,2,14,67,0,10,1,0,3,20,123,1,7,0,0,1,1,9,0,3,42,95,155,14,306,309,17,326,1.00980392156863,0.0555555555555556,1.06535947712418,326
"0614550","061455008841",1,1,55,8,171,0,10,1,0,70,7,152,2,8,2,0,70,7,121,0,9,3,4,68,12,188,0,16,246,240,209,291,986,598,292,890,0.606490872210953,0.296146044624746,0.9026369168357,890
"0614550","061455010779",1,0,12,4,36,2,7,0,0,10,2,27,1,10,2,0,4,5,34,1,6,0,0,10,3,43,0,12,62,50,52,68,232,102,70,172,0.439655172413793,0.301724137931034,0.741379310344828,172
"0614550","061455011846",2,1,2,2,35,1,12,4,0,2,3,38,0,28,4,2,1,2,63,3,36,4,1,2,1,35,1,18,55,75,111,62,303,298,48,346,0.983498349834984,0.158415841584158,1.14191419141914,346
"0614550","061455011911",12,2,32,1,36,0,39,4,1,32,2,22,0,49,3,1,39,7,24,0,46,4,0,53,2,28,0,43,122,110,120,130,482,46,9,55,0.0954356846473029,0.0186721991701245,0.114107883817427,55
"0614550","061455012434",1,0,0,2,5,0,0,0,0,0,5,5,0,0,0,0,0,2,1,0,0,0,0,1,3,10,0,2,8,10,3,16,37,47,10,57,1.27027027027027,0.27027027027027,1.54054054054054,57
"0614550","061455013893",1,0,10,15,66,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,-4,-4,-4,-4,107,0,0,-28,79,47,33,80,0.594936708860759,0.417721518987342,1.0126582278481,80
"0622500","062250002728",8,4,44,156,584,22,8,6,1,41,159,552,26,13,4,5,50,161,547,24,13,8,0,32,115,582,20,10,826,798,804,767,3195,2170,349,2519,0.679186228482003,0.109233176838811,0.788419405320814,2519
"0622500","062250002733",19,3,121,161,345,27,153,31,3,122,143,381,20,167,17,0,100,147,376,12,169,25,3,115,148,388,29,153,829,867,821,861,3378,1324,397,1721,0.391947898164594,0.117525162818236,0.50947306098283,1721
"0622500","062250002745",32,0,72,85,455,5,288,12,3,48,78,526,9,219,21,4,53,87,434,6,237,43,2,66,76,448,6,301,937,895,842,942,3616,1304,306,1610,0.360619469026549,0.0846238938053097,0.445243362831858,1610
"0622500","062250002751",21,0,246,223,445,17,142,25,0,249,233,418,30,124,29,1,253,255,385,22,132,37,2,245,204,501,17,114,1094,1079,1077,1120,4370,2178,362,2540,0.498398169336384,0.082837528604119,0.581235697940503,2540
"0622500","062250002753",-4,-4,-4,-4,-4,-4,-4,0,1,1,5,29,2,0,1,0,6,18,93,1,4,-4,-4,-4,-4,-4,-4,-4,-28,38,123,-28,105,117,6,123,1.11428571428571,0.0571428571428571,1.17142857142857,123
"0622500","062250002769",27,2,80,125,607,5,199,23,3,80,100,498,8,191,23,1,97,110,439,8,225,31,6,84,108,532,8,172,1045,903,903,941,3792,1831,320,2151,0.48285864978903,0.0843881856540084,0.567246835443038,2151
"0622500","062250005870",5,2,68,96,463,20,10,5,1,99,94,420,12,14,8,1,94,81,374,13,8,6,0,73,97,543,13,10,664,645,579,742,2630,1864,259,2123,0.708745247148289,0.0984790874524715,0.80722433460076,2123
"0622500","062250007299",1,0,0,0,29,0,13,0,0,0,0,35,0,20,0,0,1,0,32,0,17,1,0,0,0,35,0,10,43,55,50,46,194,301,130,431,1.55154639175258,0.670103092783505,2.22164948453608,431
"0622500","062250008720",5,1,8,34,41,1,13,1,0,7,40,44,1,21,1,0,10,32,54,1,14,4,1,12,27,59,2,18,103,114,112,123,452,218,45,263,0.482300884955752,0.0995575221238938,0.581858407079646,263
"0622500","062250009901",12,0,54,20,69,2,10,5,0,57,30,64,3,16,5,1,43,15,78,1,21,7,1,49,26,77,1,14,167,175,164,175,681,201,89,290,0.295154185022026,0.130690161527166,0.425844346549192,290
"0622500","062250010239",0,0,1,8,17,2,2,1,1,9,37,160,1,10,4,3,38,97,482,5,51,0,0,0,0,0,0,0,30,219,680,0,929,565,25,590,0.608180839612487,0.0269106566200215,0.635091496232508,590
"0622500","062250011291",0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,1,5,0,8,-1,-1,-2,-0.125,-0.125,-0.25,-2
"0622500","062250013001",2,0,3,19,70,1,3,1,0,2,19,61,0,1,0,1,4,16,40,0,5,0,0,0,0,0,0,0,98,84,66,0,248,206,7,213,0.830645161290323,0.0282258064516129,0.858870967741935,213
"0622500","062250013105",11,0,20,32,72,1,59,12,1,19,15,77,1,52,0,0,0,0,0,0,0,16,0,23,18,80,0,56,195,177,0,193,565,168,57,225,0.297345132743363,0.100884955752212,0.398230088495575,225
"0622500","062250013860",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,4,-1,-1,-2,-0.25,-0.25,-0.5,-2
"0622500","062250013896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,35,8,38,0,31,0,0,0,121,121,38,11,49,0.31404958677686,0.0909090909090909,0.40495867768595,49
"0622710","062271002112",0,0,3,2,16,0,0,0,0,5,2,24,0,0,0,0,0,1,29,0,1,0,0,0,3,13,0,1,21,31,31,17,100,97,14,111,0.97,0.14,1.11,111
"0622710","062271002128",0,0,0,18,43,0,1,0,0,1,17,44,0,2,1,0,0,30,64,0,3,0,1,0,18,21,0,0,62,64,98,40,264,234,13,247,0.886363636363636,0.0492424242424242,0.935606060606061,247
"0622710","062271002801",0,0,0,2,27,0,2,1,0,2,3,28,0,2,1,0,0,1,33,0,3,0,0,1,5,13,0,0,31,36,38,19,124,104,5,109,0.838709677419355,0.0403225806451613,0.879032258064516,109
"0622710","062271002802",0,0,0,1,14,0,0,0,0,1,1,25,0,1,0,0,0,1,20,0,5,0,0,0,0,10,0,2,15,28,26,12,81,74,0,74,0.91358024691358,0,0.91358024691358,74
"0622710","062271002806",0,0,0,1,25,1,1,0,0,0,1,26,0,2,0,0,0,2,12,0,1,0,0,1,0,21,0,3,28,29,15,25,97,80,12,92,0.824742268041237,0.123711340206186,0.948453608247423,92
"0622710","062271002815",0,0,0,5,21,1,7,0,1,1,1,17,0,2,1,0,0,2,13,0,2,0,0,0,0,8,0,1,34,22,18,9,83,57,5,62,0.686746987951807,0.0602409638554217,0.746987951807229,62
"0622710","062271002830",0,0,0,1,13,0,0,0,1,0,1,30,0,0,0,0,0,1,35,0,0,0,0,0,0,12,0,0,14,32,36,12,94,83,6,89,0.882978723404255,0.0638297872340425,0.946808510638298,89
"0622710","062271002838",1,1,4,4,478,10,10,2,3,5,3,315,4,3,0,0,2,11,453,7,8,1,3,4,13,627,8,14,508,335,481,670,1994,1502,244,1746,0.753259779338014,0.122367101303912,0.875626880641926,1746
"0622710","062271002844",4,1,2,2,844,0,26,2,0,0,1,589,0,14,1,0,1,1,588,1,14,2,0,2,2,933,0,19,879,606,606,958,3049,2338,389,2727,0.766808789767137,0.127582814037389,0.894391603804526,2727
"0622710","062271002857",12,0,26,29,730,0,45,8,3,31,43,679,0,66,2,3,49,42,608,2,90,12,0,35,31,689,2,41,842,830,796,810,3278,2344,427,2771,0.715070164734594,0.13026235509457,0.845332519829164,2771
"0622710","062271002890",4,4,9,13,380,0,25,5,2,11,14,256,1,22,0,2,23,18,284,0,17,5,0,13,18,289,1,18,435,311,344,344,1434,1017,158,1175,0.709205020920502,0.110181311018131,0.819386331938633,1175
"0622710","062271002899",4,2,70,89,227,19,8,5,2,74,61,256,17,14,2,1,77,52,163,19,11,4,1,57,79,210,20,16,419,429,325,387,1560,894,205,1099,0.573076923076923,0.131410256410256,0.70448717948718,1099
"0622710","062271002908",0,3,2,14,73,0,4,0,1,2,7,106,0,3,1,0,2,12,102,1,1,0,0,1,7,57,0,1,96,119,119,66,400,286,15,301,0.715,0.0375,0.7525,301
"0622710","062271002916",6,1,63,34,382,0,104,3,3,53,33,283,0,80,1,1,88,37,275,1,104,5,3,75,24,327,0,82,590,455,507,516,2068,1063,286,1349,0.514023210831721,0.138297872340426,0.652321083172147,1349
"0622710","062271002918",0,0,0,9,14,0,4,1,0,1,5,10,0,1,0,1,0,0,8,0,3,0,0,0,4,15,0,0,27,18,12,19,76,41,3,44,0.539473684210526,0.0394736842105263,0.578947368421053,44
"0622710","062271002923",13,1,138,38,471,3,133,5,1,144,36,398,2,163,4,1,119,30,376,2,110,8,3,141,42,674,5,141,797,749,642,1014,3202,1627,445,2072,0.508119925046846,0.138975640224859,0.647095565271705,2072
"0622710","062271002941",10,0,1,144,75,0,8,3,1,0,151,59,0,2,2,1,1,148,70,0,0,7,0,0,160,57,0,0,238,216,222,224,900,732,47,779,0.813333333333333,0.0522222222222222,0.865555555555556,779
"0622710","062271002965",10,1,0,185,167,0,4,2,0,0,124,105,2,1,4,0,1,131,101,0,7,4,0,1,140,133,0,1,367,234,244,279,1124,794,90,884,0.706405693950178,0.0800711743772242,0.786476868327402,884
"0622710","062271002970",4,1,143,8,264,1,40,2,0,111,7,258,0,48,3,3,121,6,223,3,25,6,4,127,5,256,1,46,461,426,384,445,1716,1008,355,1363,0.587412587412587,0.206876456876457,0.794289044289044,1363
"0622710","062271002971",0,0,0,0,6,0,0,0,0,0,1,3,0,0,1,0,2,4,29,3,0,1,0,0,1,4,0,0,6,4,39,6,55,29,6,35,0.527272727272727,0.109090909090909,0.636363636363636,35
"0622710","062271002972",0,0,0,0,8,0,0,2,0,0,0,25,0,0,0,0,0,1,60,0,2,0,0,0,0,0,0,0,8,27,63,0,98,70,7,77,0.714285714285714,0.0714285714285714,0.785714285714286,77
"0622710","062271002976",0,0,0,0,22,0,1,1,0,0,0,20,0,3,2,0,0,1,13,0,0,0,0,0,0,9,0,0,23,24,16,9,72,45,4,49,0.625,0.0555555555555556,0.680555555555556,49
"0622710","062271002977",37,5,135,57,259,6,469,23,5,133,87,277,4,436,20,9,157,79,270,8,501,62,4,111,43,245,1,412,968,965,1044,878,3855,602,192,794,0.156160830090791,0.0498054474708171,0.205966277561608,794
"0622710","062271002983",0,1,0,1,189,0,1,0,0,0,0,147,0,1,0,0,1,0,161,0,2,2,0,0,1,214,0,4,192,148,164,221,725,1422,154,1576,1.96137931034483,0.212413793103448,2.17379310344828,1576
"0622710","062271002984",2,0,0,14,10,0,1,0,0,0,22,12,0,0,1,0,0,23,11,0,0,1,0,0,5,3,0,0,27,34,35,9,105,72,0,72,0.685714285714286,0,0.685714285714286,72
"0622710","062271002995",0,0,0,0,16,0,2,0,0,1,1,16,0,1,0,0,0,2,15,0,0,0,0,1,0,12,0,0,18,19,17,13,67,48,5,53,0.716417910447761,0.0746268656716418,0.791044776119403,53
"0622710","062271002998",13,2,125,82,309,2,46,4,0,79,99,257,0,27,3,2,94,68,243,1,46,7,0,86,100,311,0,41,579,466,457,545,2047,1279,287,1566,0.624816805080606,0.140205178309722,0.765021983390327,1566
"0622710","062271003017",1,0,2,22,179,0,0,1,1,0,15,183,0,1,0,0,0,19,132,0,0,1,0,1,28,175,0,1,204,201,151,206,762,1521,177,1698,1.99606299212598,0.232283464566929,2.22834645669291,1698
"0622710","062271003020",1,2,33,9,736,1,22,0,1,27,4,621,1,17,0,1,33,6,617,1,17,6,0,29,10,660,2,19,804,671,675,726,2876,2165,392,2557,0.752781641168289,0.136300417246175,0.889082058414465,2557
"0622710","062271003021",0,4,26,3,394,0,5,1,0,14,2,255,0,5,0,2,22,3,268,0,7,4,2,14,6,345,0,8,432,277,302,379,1390,1065,148,1213,0.766187050359712,0.106474820143885,0.872661870503597,1213
"0622710","062271003023",2,1,0,52,507,0,9,0,2,1,38,369,0,1,0,1,0,39,355,0,2,2,0,1,58,553,0,8,571,411,397,622,2001,1701,122,1823,0.850074962518741,0.0609695152423788,0.911044477761119,1823
"0622710","062271003029",0,1,14,7,209,0,1,0,2,9,4,164,0,5,0,1,9,3,157,0,0,0,0,12,10,255,1,7,232,184,170,285,871,1431,170,1601,1.64293915040184,0.195177956371986,1.83811710677382,1601
"0622710","062271003034",3,2,21,103,254,3,11,4,1,24,86,251,5,6,0,2,20,85,228,2,7,9,1,19,136,293,4,6,397,377,344,468,1586,1113,176,1289,0.701765447667087,0.110970996216898,0.812736443883985,1289
"0622710","062271003037",1,1,1,4,646,0,3,2,0,1,2,587,1,2,0,0,2,5,550,0,2,2,0,4,4,703,0,2,656,595,559,715,2525,1873,353,2226,0.741782178217822,0.13980198019802,0.881584158415842,2226
"0622710","062271003050",38,5,304,32,449,5,320,19,3,325,43,421,4,287,19,0,319,48,426,4,269,45,0,319,43,436,5,292,1153,1102,1085,1140,4480,1564,812,2376,0.349107142857143,0.18125,0.530357142857143,2376
"0622710","062271003052",1,1,10,14,300,2,163,2,1,16,17,223,0,135,2,2,27,19,251,0,176,3,3,24,22,360,0,186,491,394,477,598,1960,1245,195,1440,0.635204081632653,0.0994897959183673,0.73469387755102,1440
"0622710","062271003055",1,0,0,0,12,0,2,1,0,0,2,12,0,0,0,0,1,2,19,0,1,0,0,0,0,6,0,0,15,15,23,6,59,48,3,51,0.813559322033898,0.0508474576271186,0.864406779661017,51
"0622710","062271003064",24,1,30,220,372,3,135,9,1,31,200,322,5,103,3,4,29,170,346,3,103,22,1,21,229,391,1,100,785,671,658,765,2879,1465,344,1809,0.508857242097951,0.119485932615491,0.628343174713442,1809
"0622710","062271003070",0,0,0,5,47,0,1,1,0,0,6,48,0,2,1,0,0,4,26,0,2,0,0,0,5,41,0,1,53,57,33,47,190,143,3,146,0.752631578947368,0.0157894736842105,0.768421052631579,146
"0622710","062271003082",0,0,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,1,8,0,0,16,8,16,9,49,36,6,42,0.73469387755102,0.122448979591837,0.857142857142857,42
"0622710","062271003088",1,1,17,34,275,1,42,6,0,18,37,220,2,33,1,0,21,38,201,0,47,5,0,29,55,335,2,58,371,316,308,484,1479,1040,186,1226,0.703177822853279,0.125760649087221,0.8289384719405,1226
"0622710","062271003093",0,0,0,3,18,0,0,0,0,0,4,19,0,0,0,0,0,2,15,0,0,0,0,0,4,8,0,1,21,23,17,13,74,57,6,63,0.77027027027027,0.0810810810810811,0.851351351351351,63
"0622710","062271003098",3,0,1,8,533,0,4,1,1,2,2,427,0,2,1,1,0,4,332,0,1,4,0,2,6,364,0,2,549,435,339,378,1701,1290,201,1491,0.758377425044092,0.118165784832451,0.876543209876543,1491
"0622710","062271003100",1,0,1,2,33,0,1,0,0,1,2,31,0,2,0,0,0,1,40,0,6,0,0,1,0,18,0,2,38,36,47,21,142,106,17,123,0.746478873239437,0.119718309859155,0.866197183098592,123
"0622710","062271003106",2,0,0,24,196,0,1,0,0,1,18,158,0,0,1,0,0,18,211,0,0,2,1,0,21,140,1,2,223,177,230,167,797,613,32,645,0.769134253450439,0.0401505646173149,0.809284818067754,645
"0622710","062271003107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,14,131,0,62,0,0,0,0,0,0,0,0,0,229,0,229,102,25,127,0.445414847161572,0.109170305676856,0.554585152838428,127
"0622710","062271003108",6,2,30,17,456,3,46,1,3,35,18,377,1,46,3,1,40,15,365,1,59,5,1,22,14,484,0,48,560,481,484,574,2099,1113,333,1446,0.530252501191043,0.158646974749881,0.688899475940924,1446
"0622710","062271003109",1,0,0,28,114,0,3,0,0,1,14,75,1,0,2,0,0,21,128,1,2,2,0,0,31,132,0,1,146,91,154,166,557,475,24,499,0.85278276481149,0.0430879712746858,0.895870736086176,499
"0622710","062271003110",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14,37,170,1,6,0,0,0,0,0,0,0,0,1,229,0,230,124,27,151,0.539130434782609,0.117391304347826,0.656521739130435,151
"0622710","062271003134",0,0,0,0,20,0,0,0,0,0,0,22,0,3,0,0,0,0,35,0,0,0,0,0,1,4,0,1,20,25,35,6,86,57,16,73,0.662790697674419,0.186046511627907,0.848837209302326,73
"0622710","062271003139",1,0,53,2,215,0,4,0,1,67,1,158,0,2,3,1,82,2,175,1,2,2,0,48,9,200,0,1,275,229,266,260,1030,812,114,926,0.788349514563107,0.110679611650485,0.899029126213592,926
"0622710","062271003146",0,0,1,2,28,0,2,0,0,0,3,33,0,2,0,0,0,2,40,0,5,0,0,0,1,7,0,2,33,38,47,10,128,83,4,87,0.6484375,0.03125,0.6796875,87
"0622710","062271003151",0,1,23,52,260,0,6,1,4,20,45,179,2,5,4,1,28,25,238,0,2,1,0,22,58,398,0,5,342,256,298,484,1380,1079,114,1193,0.781884057971014,0.0826086956521739,0.864492753623188,1193
"0622710","062271003163",2,1,2,78,347,2,16,2,0,0,75,287,0,3,0,0,1,52,252,1,2,0,0,1,62,358,0,9,448,367,308,430,1553,1276,117,1393,0.821635544108178,0.0753380553766903,0.896973599484868,1393
"0622710","062271003171",12,2,128,8,391,3,84,8,0,153,11,335,0,90,4,3,141,9,301,3,57,6,1,131,7,358,4,90,628,597,518,597,2340,1337,345,1682,0.571367521367521,0.147435897435897,0.718803418803419,1682
"0622710","062271003181",0,0,0,4,40,0,1,0,0,0,2,55,0,0,0,0,0,0,47,0,0,0,0,0,0,15,0,1,45,57,47,16,165,138,12,150,0.836363636363636,0.0727272727272727,0.909090909090909,150
